"title","channelName","viewCount","likes","date","duration","type","url","commentsCount"
"COMPLETE Data Analytics Portfolio Project in 6 EASY Steps | Python + SQL + Power BI","Amlan Mohanty","742954","20000","2025-10-15T02:50:02.000Z","01:23:19","video","https://www.youtube.com/watch?v=5PrZvPeUw60","1238"
"How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥","CodeWithHarry","642291","19000","2025-12-02T11:30:08.000Z","00:18:47","video","https://www.youtube.com/watch?v=8411fEhNKNc","988"
"Data Analyst Roadmap with Free Resources !!","Shakra Shamim","562105","28000","2024-08-09T14:05:06.000Z","00:12:14","video","https://www.youtube.com/watch?v=r3WuDHyOlv4","1448"
"How I Would Learn to be a Data Analyst","Luke Barousse","242058","10000","2025-01-17T13:00:22.000Z","00:10:21","video","https://www.youtube.com/watch?v=JFA7H1uJ8wU","206"
"What is Artificial Intelligence? | Artificial Intelligence In 5 Minutes | AI Explained | Simplilearn","Simplilearn","480853","5500","2022-12-14T14:46:25.000Z","00:04:45","video","https://www.youtube.com/watch?v=uMzUB89uSxU","301"
"The 10 Stages of Artificial Intelligence","Future Business Tech","1673653","27000","2023-10-28T10:00:46.000Z","00:11:38","video","https://www.youtube.com/watch?v=tFx_UNW9I1U","2592"
"Artificial Intelligence | 60 Minutes Full Episodes","60 Minutes","9398144","96000","2023-12-30T13:00:02.000Z","00:53:29","video","https://www.youtube.com/watch?v=aZ5EsdnpLMI","8086"
"Why You Should NOT Become an Entry Level Data Analyst (What To Do Instead)","Kedeisha Bryan - Your Data Career Coach","20389","979","2025-06-06T18:48:08.000Z","00:07:19","video","https://www.youtube.com/watch?v=-QOjn8aL-44","80"
"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)","freeCodeCamp.org","4145597","82000","2020-04-15T13:19:55.000Z","04:22:13","video","https://www.youtube.com/watch?v=r-uOLxNrNk8","1102"
"Don't Become a Data Analyst (Do THIS Instead)","Kedeisha Bryan - Your Data Career Coach","223615","9300","2025-10-02T13:32:05.000Z","00:10:35","video","https://www.youtube.com/watch?v=L3iD_fiwvLI","335"
"The COMPLETE Data Analyst Course That Gets You Hired","Kedeisha Bryan - Your Data Career Coach","317","53","2026-07-13T16:24:15.000Z","05:22:30","video","https://www.youtube.com/watch?v=3W6p9NGNkAI","6"
"Should You Become a Data Analyst in 2026? Honest Answer","Sundas Khalid","27708","697","2026-05-13T14:31:00.000Z","00:27:55","video","https://www.youtube.com/watch?v=KosVp_BpAbk","70"
"FASTEST Way to Become a Data Analyst and ACTUALLY Get a Job","Stefanovic","3337544","128000","2022-07-11T13:07:22.000Z","00:10:55","video","https://www.youtube.com/watch?v=AYWLZ1lES6g","1781"
"The End of Data Analyst Jobs (What No One Is Telling You)","Learn with Lukas","231469","6600","2025-04-14T14:06:53.000Z","00:07:07","video","https://www.youtube.com/watch?v=nplotMcMZJE","343"
"I started my data analyst career taking these beginner courses","Wale Gbads","598118","26000","2021-05-11T19:28:57.000Z","00:08:16","video","https://www.youtube.com/watch?v=SfE3aO3LWi0","1565"
"Nobody Is Hiring Data Analysts In 2026","Kedeisha Bryan - Your Data Career Coach","11929","485","2025-12-03T14:28:53.000Z","00:08:18","video","https://www.youtube.com/watch?v=ekUOpSQm3Og","64"
"If I Wanted To Become a Data Analyst in 2026, This Is What I'd Do","Avery Smith | Data Analyst","13322","556","2026-01-27T13:00:06.000Z","00:09:38","video","https://www.youtube.com/watch?v=vrs0aOgyq70","40"
"Is The Google Data Analytics Certificate ACTUALLY Worth It? (Review)","Shane Hummus","164113","5400","2025-06-01T00:00:32.000Z","00:20:18","video","https://www.youtube.com/watch?v=N7a4yMziXo0","231"
"Our latest reports on AI | 60 Minutes Full Episodes","60 Minutes","325465","4400","2026-05-30T11:00:09.000Z","01:32:35","video","https://www.youtube.com/watch?v=iyVXw-SoUrY","0"
"FASTEST Way to Become a Data Analyst and ACTUALLY Get a Job (no experience)","Matt Mike","48954","1900","2025-11-11T00:54:25.000Z","00:13:25","video","https://www.youtube.com/watch?v=ihr5eNKrhoA","73"
"5 Data Analyst Courses Worth More than a Degree","Anton's Library","36340","0","2026-04-21T13:01:33.000Z","00:10:47","video","https://www.youtube.com/watch?v=lpEEhAci7Hw","11"
"There’s No More Data Analyst Jobs","Avery Smith | Data Analyst","6054","228","2026-03-24T12:00:06.000Z","00:15:28","video","https://www.youtube.com/watch?v=VW0ReLecAxA","29"
