title,channelName,viewCount,likes,date,duration,type,url,commentsCount,upload_year,upload_month,upload_day,upload_hour,engagement_rate,like_ratio,comment_ratio,popularity_score
Don't Become a Data Analyst (Do THIS Instead),Kedeisha Bryan - Your Data Career Coach,223615.0,9300.0,2025-10-02 13:32:05+00:00,00:10:35,video,https://www.youtube.com/watch?v=L3iD_fiwvLI,335.0,2025,October,Thursday,13,4.30874494108177,4.158933881895221,0.1498110591865483,114664.5
The COMPLETE Data Analyst Course That Gets You Hired,Kedeisha Bryan - Your Data Career Coach,317.0,53.0,2026-07-13 16:24:15+00:00,05:22:30,video,https://www.youtube.com/watch?v=3W6p9NGNkAI,6.0,2026,July,Monday,16,18.61198738170347,16.7192429022082,1.8927444794952681,175.6
Should You Become a Data Analyst in 2026? Honest Answer,Sundas Khalid,27708.0,697.0,2026-05-13 14:31:00+00:00,00:27:55,video,https://www.youtube.com/watch?v=KosVp_BpAbk,70.0,2026,May,Wednesday,14,2.7681536018478416,2.5155189836870218,0.25263461816082,14077.1
FASTEST Way to Become a Data Analyst and ACTUALLY Get a Job,Stefanovic,3337544.0,128000.0,2022-07-11 13:07:22+00:00,00:10:55,video,https://www.youtube.com/watch?v=AYWLZ1lES6g,1781.0,2022,July,Monday,13,3.888518024032043,3.8351554316587286,0.053362592373314026,1707528.2
The End of Data Analyst Jobs (What No One Is Telling You),Learn with Lukas,231469.0,6600.0,2025-04-14 14:06:53+00:00,00:07:07,video,https://www.youtube.com/watch?v=nplotMcMZJE,343.0,2025,April,Monday,14,2.999537735074675,2.85135374499393,0.14818399008074518,117783.1
I started my data analyst career taking these beginner courses,Wale Gbads,598118.0,26000.0,2021-05-11 19:28:57+00:00,00:08:16,video,https://www.youtube.com/watch?v=SfE3aO3LWi0,1565.0,2021,May,Tuesday,19,4.608622378861696,4.346968323976205,0.2616540548854908,307172.0
Nobody Is Hiring Data Analysts In 2026,Kedeisha Bryan - Your Data Career Coach,11929.0,485.0,2025-12-03 14:28:53+00:00,00:08:18,video,https://www.youtube.com/watch?v=ekUOpSQm3Og,64.0,2025,December,Wednesday,14,4.602229860005029,4.06572218962193,0.5365076703831,6122.8
"If I Wanted To Become a Data Analyst in 2026, This Is What I'd Do",Avery Smith | Data Analyst,13322.0,556.0,2026-01-27 13:00:06+00:00,00:09:38,video,https://www.youtube.com/watch?v=vrs0aOgyq70,40.0,2026,January,Tuesday,13,4.473802732322474,4.17354751538808,0.3002552169343942,6835.8
Is The Google Data Analytics Certificate ACTUALLY Worth It? (Review),Shane Hummus,164113.0,5400.0,2025-06-01 00:00:32+00:00,00:20:18,video,https://www.youtube.com/watch?v=N7a4yMziXo0,231.0,2025,June,Sunday,0,3.4311724238786687,3.2904157501233904,0.14075667375527837,83722.7
Our latest reports on AI | 60 Minutes Full Episodes,60 Minutes,325465.0,4400.0,2026-05-30 11:00:09+00:00,01:32:35,video,https://www.youtube.com/watch?v=iyVXw-SoUrY,0.0,2026,May,Saturday,11,1.3519118799256449,1.3519118799256449,0.0,164052.5
FASTEST Way to Become a Data Analyst and ACTUALLY Get a Job (no experience),Matt Mike,48954.0,1900.0,2025-11-11 00:54:25+00:00,00:13:25,video,https://www.youtube.com/watch?v=ihr5eNKrhoA,73.0,2025,November,Tuesday,0,4.030314172488458,3.881194590840381,0.1491195816480778,25061.6
5 Data Analyst Courses Worth More than a Degree,Anton's Library,36340.0,0.0,2026-04-21 13:01:33+00:00,00:10:47,video,https://www.youtube.com/watch?v=lpEEhAci7Hw,11.0,2026,April,Tuesday,13,0.03026967528893781,0.0,0.03026967528893781,18172.2
There’s No More Data Analyst Jobs,Avery Smith | Data Analyst,6054.0,228.0,2026-03-24 12:00:06+00:00,00:15:28,video,https://www.youtube.com/watch?v=VW0ReLecAxA,29.0,2026,March,Tuesday,12,4.245127188635613,3.7661050545094152,0.47902213412619754,3101.2000000000003
"S3 EP4, Data Analyst Career Path in South Africa",Yvonne Graceful,11409.0,476.0,2025-03-19 04:00:06+00:00,00:49:46,video,https://www.youtube.com/watch?v=607El_3kvRU,44.0,2025,March,Wednesday,4,4.557805241476028,4.172144797966518,0.38566044350951,5856.1
Best Data Analyst Certifications to Find a Job Fast in 2026,Data Logic With Shivam,32038.0,1900.0,2026-05-24 14:30:02+00:00,00:19:54,video,https://www.youtube.com/watch?v=rxzBZKszRTQ,208.0,2026,May,Sunday,14,6.579686622136213,5.930457581621824,0.6492290405143892,16630.6
Google’s AI Course for Beginners (in 10 minutes)!,Jeff Su,3600023.0,58000.0,2023-11-14 13:00:33+00:00,00:09:17,video,https://www.youtube.com/watch?v=Yq0QkCxoTHM,2809.0,2023,November,Tuesday,13,1.6891280972371567,1.6111008179669963,0.07802727927016022,1817973.3
How to Become a Data Analyst in Healthcare,Mo Chen,11104.0,552.0,2026-04-20 14:01:13+00:00,00:07:38,video,https://www.youtube.com/watch?v=lQnd0PfdLqQ,28.0,2026,April,Monday,14,5.2233429394812685,4.971181556195965,0.2521613832853026,5723.200000000001
Watch This Before You Spend Money on a DATA ANALYTICS Course in India,Mansi G.,31787.0,1400.0,2026-05-09 04:30:06+00:00,00:35:30,video,https://www.youtube.com/watch?v=AUOJK6RL5t0,558.0,2026,May,Saturday,4,6.159750841538994,4.404316229905307,1.7554346116336865,16425.1
How I Would Become a Data Analyst In 2026 (if I had to start over again),Avery Smith | Data Analyst,521246.0,20000.0,2024-11-19 13:30:33+00:00,00:15:39,video,https://www.youtube.com/watch?v=mSWtnjq4LRE,552.0,2024,November,Tuesday,13,3.9428599931702113,3.836959899932086,0.10590009323812556,266733.4
Microsoft Says Its Over For Data Analysts,Kedeisha Bryan - Your Data Career Coach,14790.0,548.0,2026-03-11 13:30:55+00:00,00:12:49,video,https://www.youtube.com/watch?v=j0e_louyG1M,53.0,2026,March,Wednesday,13,4.063556457065585,3.705206220419202,0.35835023664638266,7570.0
My HONEST Thoughts on The Data Job Market in 2026,Avery Smith | Data Analyst,76085.0,1800.0,2026-01-13 13:00:06+00:00,00:10:03,video,https://www.youtube.com/watch?v=YaUzUodSdQw,227.0,2026,January,Tuesday,13,2.6641256489452583,2.3657751199316555,0.2983505290136032,38627.9
"Data Analysis with Python Course - Numpy, Pandas, Data Visualization",freeCodeCamp.org,3285557.0,75000.0,2021-02-18 17:03:50+00:00,09:56:22,video,https://www.youtube.com/watch?v=GPVsHOlRBBI,933.0,2021,February,Thursday,17,2.3111149798953416,2.282717968368834,0.028397011526508288,1665465.1
"Give me 5 minutes, and I'll teach you how to become a Top Data Analyst",Abhay Bhagat,519625.0,33000.0,2025-05-16 09:54:45+00:00,00:05:01,video,https://www.youtube.com/watch?v=BIv4PHA_rek,0.0,2025,May,Friday,9,6.350733702189079,6.350733702189079,0.0,269712.5
What is Artificial Intelligence? | Quick Learner,Duke University,387393.0,2500.0,2021-04-13 13:30:49+00:00,00:01:39,video,https://www.youtube.com/watch?v=c0m6yaGlZh4,1.0,2021,April,Tuesday,13,0.6455976230856004,0.6453394872906841,0.00025813579491627364,194446.7
30 Underrated Companies Hiring Data Analysts & Data Scientists (₹8L–₹22L CTC),Noodle Brain,3695.0,294.0,2026-07-11 12:30:06+00:00,00:16:30,video,https://www.youtube.com/watch?v=_XvNwXEGzL4,83.0,2026,July,Saturday,12,10.20297699594046,7.956698240866035,2.246278755074425,1952.3
Data Analytics For Beginners | Introduction To Data Analytics | Data Analytics Using R | Simplilearn,Simplilearn,652887.0,9100.0,2020-04-24 14:30:14+00:00,00:51:24,video,https://www.youtube.com/watch?v=zwasdVPPFFw,63.0,2020,April,Friday,14,1.4034587914907173,1.3938093421985736,0.00964944929214397,329186.1
The Computer Chronicles - Artificial Intelligence (1984),The Computer Chronicles,367737.0,10000.0,2012-11-09 20:26:13+00:00,00:28:40,video,https://www.youtube.com/watch?v=_S3m0V_ZF_Q,2556.0,2012,November,Friday,20,3.4143967019908255,2.7193347419487295,0.6950619600420953,187379.7
Learn Power BI - Full Data Analyst Course for 2026,Boot dev,30240.0,1300.0,2026-04-24 16:01:18+00:00,04:37:57,video,https://www.youtube.com/watch?v=keDIUQCVhtA,33.0,2026,April,Friday,16,4.408068783068783,4.298941798941799,0.10912698412698413,15516.6
The ONLY Data Analyst Project You Need to Get Hired in 2026,Kedeisha Bryan - Your Data Career Coach,55951.0,3000.0,2025-06-30 16:55:12+00:00,00:09:52,video,https://www.youtube.com/watch?v=PLj2On29-fM,119.0,2025,June,Monday,16,5.574520562635163,5.3618344622973675,0.21268610033779559,28899.3
10 Business Metrics EVERY Data Analyst Must Know (Get Hired),Christine Jiang,9677.0,612.0,2026-05-05 14:00:34+00:00,00:17:02,video,https://www.youtube.com/watch?v=IhozukrlI9w,22.0,2026,May,Tuesday,14,6.551617236746926,6.324274051875581,0.22734318487134444,5026.5
"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",Alex The Analyst,210273.0,4500.0,2024-10-29 12:01:19+00:00,02:38:36,video,https://www.youtube.com/watch?v=zXnQNytHCPM,125.0,2024,October,Tuesday,12,2.1995215743343177,2.140075045298255,0.059446529036062644,106511.5
